airbnb_id,night_priceـnative,night_price,weekly_price,monthly_price,cleaning_fee_native,num_of_baths,num_of_rooms,occupancy,nights_booked,rental_income,airbnb_neighborhood_id,airbnb_city,capacity_of_people,zip,property_type,room_type,reviews_count,num_of_beds,lat,lon,star_rating
33453937.0,110.0,108.0,0.0,0.0,110.0,2.0,2.0,48.0,177.0,1593.0,268906.0,Orlando,4.0,32822.0,Apartment,Entire home/apt,78.0,2.0,28.5049,-81.2989,5.0
33454729.0,237.0,434.0,0.0,0.0,185.0,4.0,5.0,76.0,279.0,10091.0,268914.0,Orlando,16.0,32805.0,House,Entire home/apt,136.0,8.0,28.5216,-81.4037,5.0
33453571.0,345.0,341.0,0.0,0.0,125.0,2.0,2.0,46.0,167.0,4746.0,268881.0,Orlando,5.0,32789.0,Condominium,Entire home/apt,58.0,2.0,28.5916,-81.3521,5.0
33460647.0,175.0,171.0,0.0,0.0,125.0,2.0,3.0,52.0,191.0,2722.0,269050.0,Orlando,6.0,32804.0,House,Entire home/apt,6.0,3.0,28.5683,-81.3854,5.0
33456754.0,62.0,63.0,300.0,950.0,30.0,1.0,1.0,94.0,342.0,1796.0,268987.0,Orlando,2.0,32819.0,Condominium,Entire home/apt,109.0,1.0,28.4561,-81.47,5.0
33453016.0,88.0,71.0,350.0,1200.0,120.0,2.0,2.0,89.0,326.0,1929.0,268906.0,Orlando,4.0,32822.0,Apartment,Entire home/apt,61.0,4.0,28.4947,-81.311,5.0
33452826.0,48.0,50.0,350.0,1100.0,50.0,1.0,0.0,78.0,286.0,1192.0,268912.0,Orlando,2.0,32835.0,Guest suite,Entire home/apt,58.0,1.0,28.5378,-81.4726,5.0
33451519.0,116.0,92.0,0.0,0.0,,1.5,1.0,67.0,225.0,1882.0,125976.0,Orlando,4.0,32804.0,House,Entire home/apt,422.0,3.0,28.5827,-81.4067,5.0
33468092.0,135.0,152.0,0.0,0.0,100.0,2.0,3.0,83.0,253.0,3846.0,269233.0,Orlando,6.0,32819.0,House,Entire home/apt,30.0,5.0,28.4871,-81.4749,5.0
33454027.0,205.0,164.0,0.0,0.0,105.0,1.0,1.0,18.0,54.0,886.0,268878.0,Orlando,4.0,32803.0,Guesthouse,Entire home/apt,137.0,2.0,28.5472,-81.3576,5.0
33459977.0,90.0,89.0,0.0,0.0,50.0,1.0,1.0,25.0,84.0,680.0,269039.0,Orlando,2.0,32789.0,House,Entire home/apt,140.0,1.0,28.5846,-81.3748,5.0
33452442.0,55.0,54.0,325.0,995.0,59.0,1.0,1.0,88.0,320.0,1440.0,268890.0,Orlando,2.0,32806.0,House,Entire home/apt,337.0,1.0,28.5175,-81.353,5.0
33465850.0,80.0,107.0,0.0,0.0,95.0,2.0,2.0,87.0,319.0,2844.0,269221.0,Orlando,4.0,32829.0,House,Entire home/apt,134.0,2.0,28.4946,-81.2411,5.0
33457386.0,52.0,51.0,0.0,0.0,40.0,2.5,1.0,37.0,135.0,574.0,269005.0,Orlando,2.0,32822.0,Cabin,Entire home/apt,83.0,1.0,28.5307,-81.2868,5.0
33452890.0,65.0,64.0,0.0,0.0,50.0,1.0,2.0,90.0,329.0,1755.0,268912.0,Orlando,4.0,32835.0,Apartment,Entire home/apt,99.0,3.0,28.5379,-81.4726,5.0
33456192.0,75.0,107.0,0.0,0.0,95.0,1.0,2.0,81.0,295.0,2630.0,268974.0,Orlando,4.0,32832.0,House,Entire home/apt,152.0,2.0,28.4154,-81.2365,5.0
33459057.0,107.0,106.0,630.0,1800.0,75.0,1.0,1.0,53.0,194.0,1714.0,269038.0,Orlando,2.0,32804.0,Apartment,Entire home/apt,46.0,1.0,28.5974,-81.4002,5.0
33458971.0,81.0,74.0,0.0,0.0,25.0,1.0,1.0,68.0,248.0,1529.0,269035.0,Orlando,3.0,32804.0,Guest suite,Entire home/apt,453.0,1.0,28.574,-81.3864,5.0
33453506.0,315.0,293.0,0.0,0.0,125.0,2.0,2.0,30.0,74.0,2710.0,268881.0,Orlando,5.0,32789.0,Condominium,Entire home/apt,44.0,2.0,28.5912,-81.3511,5.0
33451933.0,41.0,52.0,0.0,0.0,145.0,1.0,1.0,59.0,214.0,927.0,268878.0,Orlando,2.0,32789.0,Tiny house,Entire home/apt,68.0,2.0,28.572,-81.3427,5.0
33460235.0,148.0,139.0,0.0,0.0,,1.0,1.0,48.0,177.0,2050.0,268987.0,Orlando,2.0,32819.0,Condominium,Entire home/apt,315.0,2.0,28.4566,-81.4681,5.0
33453158.0,135.0,147.0,0.0,0.0,93.0,2.0,2.0,19.0,52.0,849.0,268866.0,Orlando,6.0,32811.0,Condominium,Entire home/apt,169.0,2.0,28.5002,-81.4424,5.0
33453697.0,65.0,99.0,0.0,0.0,75.0,1.0,1.0,11.0,32.0,317.0,268890.0,Orlando,2.0,32806.0,Guest suite,Entire home/apt,6.0,1.0,28.5163,-81.3563,5.0
33457201.0,65.0,76.0,0.0,0.0,65.0,1.0,1.0,30.0,56.0,709.0,268987.0,Orlando,3.0,32819.0,Apartment,Entire home/apt,212.0,2.0,28.456,-81.4671,5.0
33458807.0,85.0,117.0,0.0,0.0,50.0,1.0,1.0,79.0,287.0,2798.0,269028.0,Orlando,4.0,32819.0,Guesthouse,Entire home/apt,126.0,2.0,28.4717,-81.4927,5.0
33452971.0,45.0,78.0,0.0,0.0,200.0,1.0,1.0,16.0,60.0,390.0,268890.0,Orlando,2.0,32803.0,Apartment,Entire home/apt,401.0,1.0,28.5381,-81.3544,5.0
33453342.0,85.0,85.0,0.0,0.0,80.0,2.0,2.0,25.0,91.0,645.0,268906.0,Orlando,4.0,32822.0,Condominium,Entire home/apt,12.0,3.0,28.5062,-81.302,5.0
33455196.0,84.0,100.0,0.0,0.0,80.0,1.0,1.0,90.0,302.0,2745.0,268941.0,Orlando,2.0,32803.0,Apartment,Entire home/apt,88.0,7.0,28.5521,-81.3728,5.0
