id,nights_booked,occupancy,rental_income,star_rating
33453937.0,177.0,48.0,1593.0,5.0
33454729.0,279.0,76.0,10091.0,5.0
33453571.0,167.0,46.0,4746.0,5.0
33460647.0,191.0,52.0,2722.0,5.0
33456754.0,342.0,94.0,1796.0,5.0
33453016.0,326.0,89.0,1929.0,5.0
33452826.0,286.0,78.0,1192.0,5.0
33451519.0,225.0,67.0,1882.0,5.0
33468092.0,253.0,83.0,3846.0,5.0
33454027.0,54.0,18.0,886.0,5.0
33459977.0,84.0,25.0,680.0,5.0
33452442.0,320.0,88.0,1440.0,5.0
33465850.0,319.0,87.0,2844.0,5.0
33457386.0,135.0,37.0,574.0,5.0
33452890.0,329.0,90.0,1755.0,5.0
33456192.0,295.0,81.0,2630.0,5.0
33459057.0,194.0,53.0,1714.0,5.0
33458971.0,248.0,68.0,1529.0,5.0
33453506.0,74.0,30.0,2710.0,5.0
33451933.0,214.0,59.0,927.0,5.0
33460235.0,177.0,48.0,2050.0,5.0
33453158.0,52.0,19.0,849.0,5.0
33453697.0,32.0,11.0,317.0,5.0
33457201.0,56.0,30.0,709.0,5.0
33458807.0,287.0,79.0,2798.0,5.0
33452971.0,60.0,16.0,390.0,5.0
33453342.0,91.0,25.0,645.0,5.0
33455196.0,302.0,90.0,2745.0,5.0
33452105.0,233.0,64.0,1456.0,5.0
33453278.0,136.0,56.0,1394.0,5.0
33469213.0,291.0,80.0,3832.0,5.0
33452498.0,1.0,1.0,31.0,5.0
33452533.0,328.0,90.0,2542.0,5.0
33451991.0,207.0,57.0,1484.0,5.0
33453015.0,222.0,61.0,2812.0,5.0
33453351.0,145.0,53.0,2707.0,5.0
33454021.0,321.0,88.0,2622.0,5.0
33465208.0,168.0,46.0,5516.0,5.0
33453606.0,198.0,93.0,8344.0,5.0
33452884.0,208.0,76.0,2473.0,5.0
33454008.0,206.0,75.0,1785.0,5.0
33453047.0,212.0,58.0,2774.0,5.0
33451984.0,329.0,90.0,1864.0,5.0
33457153.0,147.0,40.0,907.0,5.0
33457346.0,224.0,61.0,2053.0,5.0
33453905.0,198.0,54.0,1766.0,5.0
33453377.0,261.0,72.0,2719.0,5.0
33458505.0,39.0,25.0,718.0,5.0
33469198.0,315.0,86.0,6983.0,5.0
33453665.0,194.0,53.0,1601.0,5.0
33452552.0,34.0,9.0,179.0,5.0
33452138.0,59.0,16.0,374.0,5.0
33454554.0,345.0,95.0,3450.0,5.0
33454065.0,161.0,44.0,1208.0,5.0
33463978.0,359.0,98.0,3650.0,5.0
33454034.0,191.0,52.0,1003.0,5.0
33456771.0,234.0,64.0,3549.0,5.0
33452963.0,351.0,96.0,3188.0,5.0
33457364.0,217.0,59.0,1411.0,5.0
33457772.0,275.0,100.0,1283.0,5.0
33464385.0,301.0,82.0,3010.0,5.0
33452461.0,181.0,50.0,890.0,5.0
33454409.0,365.0,100.0,2433.0,5.0
33453425.0,207.0,57.0,1346.0,5.0
33452780.0,208.0,57.0,2080.0,5.0
33456938.0,234.0,64.0,1482.0,5.0
33464164.0,191.0,52.0,2101.0,5.0
33459472.0,126.0,41.0,2520.0,5.0
33452245.0,180.0,49.0,1200.0,5.0
33464641.0,82.0,22.0,1319.0,5.0
33454167.0,146.0,40.0,3017.0,5.0
